"mcode","munnom","madr1","madr2","madr3","madr4","mcodpos","mcourriel","mweb","mtel","mfax","mcodedesi","mdes","mgentile","regadm","divrec","mrc","admregionale","horsmrcautoch","mdatcons","mdatregi","msuperf","mpopul","datelec","electype","delectype","elecmode","delecmode","divter","mcm","mcirc","msupft","maire","con1","con2","con3","con4","con5","con6","con7","con8","con9","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30","con31","con32","con33","con34","con35","con36","con37","con38","con39","con40","con41","con42","con43","con44","con45","con46","con47","con48","con49","con50","con51","con52","con53","con54","con55","con56","con57","con58","con59","con60","con61","con62","con63","con64","con65","con66","con67","con68","con69","con70","con71","con72","con73","con74","con75","dirgen","dirsecpub","tres","gref","sectres","polic","incen","loisir","trvpub","mesurg","urban","communic","permis","batim","nd"
"40047","Danville","150, rue Water","Danville","150, rue Water","Danville","J0A1A0","direction@danville.ca","www.danville.ca","8198392771","8198392918","10","Ville","Danvillois, oise","Estrie (05)","Asbestos (40)","MRC Les Sources (400)","","","1999-03-17","","153.37","3925","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Richmond (132)","151.66","Martine Satre","Chantal Cantin","Pierre Jr Grimard","Richard Lefebvre","Jean-Guy Laroche","Daniel Pitre","Gaétan Nadeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marie-Pier Dupuis","","Nathalie Patenaude","","","","Alain Roy","","Bruno St-Onge","Marie-Pier Dupuis","Pascale Bernaquez","Chantale Dallaire","","Klaude-Ève Taillon",""
"39152","Daveluyville","362, rue Principale","Daveluyville","362, rue Principale","Daveluyville","G0Z1C0","dg@ville.daveluyville.qc.ca","www.ville.daveluyville.qc.ca","8193673395","0000000000","10","Ville","Daveluyvien, ienne","Centre-du-Québec (17)","Arthabaska (39)","MRC Arthabaska (390)","","","2016-03-09","","62.79","2422","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Nicolet-Bécancour (150)","61.75","Mathieu Allard","NAdia Leclerc","Sébastien Bilodeau","Valérie Loiselle","Alain Raymond","Carole-Anne Provencher","Christine Gentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tammy Voyer","","","Elyse Maheu","","","Éric Bergeron","","","Tammy Voyer","Valérie Gagné","","Valérie Gagné","Valérie Gagné",""
"13005","Dégelis","369, avenue Principale","Dégelis","369, avenue Principale","Dégelis","G5T2G3","info@degelis.ca","www.degelis.ca","4188532332","4188533464","10","Ville","Dégelisien, ienne*","Bas-Saint-Laurent (01)","Témiscouata (13)","MRC Témiscouata (130)","","","1969-12-13","","571.4","2913","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Rivière-du-Loup--Témiscouata (834)","560.07","Gustave Pelletier","Linda Bergeron","Olivier Lemay","Brigitte Morin","","Lucienne Lagacé","Bernard Caron","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sébastien Bourgault","","Véronique Morneau","Sébastien Bourgault","","","Claude Gravel","Isabelle Pelletier","Simon Potvin","","","","Pierre Soucy","",""
"83070","Déléage","175, route 107","Déléage","175, route 107","Déléage","J9E3A8","reception@deleage.ca","www.deleage.ca","8194491979","0000000000","05","Municipalité","Déléageois, oise*","Outaouais (07)","La Vallée-de-la-Gatineau (83)","MRC La Vallée-de-la-Gatineau (830)","","","1881-01-01","","263.42","1955","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Gatineau (614)","247.48","Anne Potvin","Kathy Milone","Gilles Jolivette","Serge Lacourcière","Michelle Briand","Stéphane Rivest","Éric Gauthier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","John-David McFaul","","","","John-David McFaul","","Michel Paul","","Ugo Cadieux","","","","","",""
"67025","Delson","50, rue Sainte-Thérèse","Delson","50, rue Sainte-Thérèse","Delson","J5B2B2","reception@ville.delson.qc.ca","www.ville.delson.qc.ca","4506321050","4506321571","10","Ville","Delsonnien, ienne*","Montérégie (16)","Roussillon (67)","MRC Roussillon (670)","","","1918-01-04","1957-02-21","7.7","8557","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","Communauté métropolitaine de Montréal (663)","La Prairie (232)","7.67","Christian Ouellette","Éric Lecourtois","Jean-Michel Pepin","Marcelina Jugureanu","Claude-Marc Raymond","Réal Langlais","Nathalie Thauvette","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jean-François Messier","","Tania Tremblay","Luc Drouin","","","","Véronique Gravel","Yannick Roy","Jean-François Messier","","Hélène Gingras","","",""
"83005","Denholm","419, chemin du Poisson-Blanc","Denholm","419, chemin du Poisson-Blanc","Denholm","J8N9C8","info@denholm.ca","www.denholm.ca","8194572992","8194579862","05","Municipalité","Denholmien, ienne*","Outaouais (07)","La Vallée-de-la-Gatineau (83)","MRC La Vallée-de-la-Gatineau (830)","","","1924-02-27","","197.68","559","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Gatineau (614)","178.01","Pierre Nelson Renaud","Richard Poirier","Marie Gagnon","Zakary Armstrong","Paul Brouillard","Gilles Rathier","Jacques Gour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sara Turpin","","","","Sara Turpin","","","","Patrick Mercier","","","","","",""
"83912","Dépôt-Échouani","","","","","","","","0000000000","0000000000","25","Territoire non organisé","","Outaouais (07)","La Vallée-de-la-Gatineau (83)","MRC La Vallée-de-la-Gatineau (830)","","","1986-01-01","","336.56","0","","B","En bloc / tout le conseil","","","","","Gatineau (614)","307.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93005","Desbiens","925, rue Hébert","Desbiens","925, rue Hébert","Desbiens","G0W1N0","administration@ville.desbiens.qc.ca","www.ville.desbiens.qc.ca","4183465571","0000000000","10","Ville","Desbienois, oise*","Saguenay--Lac-Saint-Jean (02)","Lac-Saint-Jean-Est (93)","MRC Lac-Saint-Jean-Est (930)","","","1926-08-16","1960-03-07","11.17","1008","2025-11-02","B","En bloc / tout le conseil","E","Élection","Quartier","","Lac-Saint-Jean (926)","10.65","Claude Delisle","Tania Côté","Marc Fortin","Suzie Gervais","Michel Allard","Gilbert Doucet","Gaétan Boudreault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poste Vacant","","","","Poste Vacant","","Marco Bolduc","","Germain Rondeau","Poste Vacant","","","Poste Vacant","",""
"38070","Deschaillons-sur-Saint-Laurent","1596, route Marie-Victorin","Deschaillons-sur-Saint-Laurent","1596, route Marie-Victorin","Deschaillons-sur-Saint-Laurent","G0S1G0","administration@deschaillons.ca","www.deschaillons.ca","8192922085","8192923194","05","Municipalité","Deschaillonnais, aise*","Centre-du-Québec (17)","Bécancour (38)","MRC Bécancour (380)","","","1990-05-23","","51.59","938","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Nicolet-Bécancour (150)","36.33","Christian Baril","Valérie Giguière","Quentin Kelhetter","Robert Gendron","Amélie Guay","Joanne Costo","Annie Demers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hanta Rasami","","","","Hanta Rasami","","","","","Hanta Rasami","","","Christian Soucy","",""
"34058","Deschambault-Grondines","120, rue Saint-Joseph","Deschambault-Grondines","120, rue Saint-Joseph","Deschambault-Grondines","G0A1S0","info@deschambault-grondines.com","www.deschambault-grondines.com","4182864511","4182866511","05","Municipalité","","Capitale-Nationale (03)","Portneuf (34)","MRC Portneuf (340)","","","2002-02-27","","152.36","2269","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Portneuf (714)","123.67","Patrick Bouillé","Martin Renauld","Jean Cloutier","Marianne Lavallée","Gaetan Garneau","Sylvain Ouimet","Eric Sauvageau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Karine St-Arnaud","","","Karine St-Arnaud","Karine St-Arnaud","","Éric Harvey","","","Karine St-Arnaud","Judy Du Sablon","","","Diane Du Sablon",""
"72010","Deux-Montagnes","803 , rue Chemin d'Oka","Deux-Montagnes","803 , rue Chemin d'Oka","Deux-Montagnes","J7R1L8","info@ville.deux-montagnes.qc.ca","www.ville.deux-montagnes.qc.ca","4504732796","4504732417","10","Ville","Deux-Montagnais, aise","Laurentides (15)","Deux-Montagnes (72)","MRC Deux-Montagnes (720)","","","1921-08-18","1958-02-06","7.25","18347","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","Communauté métropolitaine de Montréal (663)","Deux-Montagnes (508)","6.16","Denis Martin","Manon Robitaille","Erik Johnson","Micheline Groulx Stabile","Frédéric Berthiaume","Michel Mendes","Margaret Lavallée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Benoit Ferland","","Julie Guindon","Jacques Robichaud","","","Norbert Vendette","Mario Quesnel","","Benoit Ferland","","Louise Mailloux","","",""
"31020","Disraeli","8306, route 112","Disraeli","8306, route 112","Disraeli","G0N1E0","info@paroissedisraeli.com","www.paroissedisraeli.com","4184495329","4184495459","04","Paroisse","Disraélois, oise*","Chaudière-Appalaches (12)","L'Amiante (31)","MRC Les Appalaches (310)","","","1883-01-01","","97.5","1186","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Mégantic (104)","93.41","Jacynthe Patry","Nancy Lefebvre","Alain Perreault","Daniel Béliveau","Samuel Fortier","François Fortier","Michel Bourgault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rock Sadoine","","","","Rock Sadoine","","","","","","","","Daniel Fournier","",""
"31015","Disraeli","550, avenue Jacques-Cartier","Disraeli","550, avenue Jacques-Cartier","Disraeli","G0N1E0","dir-gen@villededisraeli.com","www.villededisraeli.com","4184492771","4184494299","10","Ville","Disraelois, oise*","Chaudière-Appalaches (12)","L'Amiante (31)","MRC Les Appalaches (310)","","","1904-11-19","1969-03-29","8.29","2362","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","Mégantic (104)","6.76","Charles Audet","Daniel Roy","Germain Martin","Alain Daigle","Martial Matteau","Claude Jolicoeur","Jean-François Marois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kim Côté","","Elyse Gagnon","","Kim Côté","","Frédérick Proulx","Julie Lessard","Pascal Dufresne","Frédérick Proulx","","","","",""
"44023","Dixville","251, chemin Parker","Dixville","251, chemin Parker","Dixville","J0B1P0","secretariat@dixville.ca","www.dixville.ca","8198493037","8198499520","05","Municipalité","Dixvillois, oise*","Estrie (05)","Coaticook (44)","MRC Coaticook (440)","","","1995-09-27","","76.92","821","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Saint-François (110)","76.4","Françoise Bouchard","Teddy Chiasson","Stéphane Cloutier","Peter Buzzell","Roger Heath","Fernando Sanchez","Anthony Laroche","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sylvain Benoit","","","","Sylvain Benoit","","","","","Sylvain Benoit","","","Amine Dahmane","",""
"92022","Dolbeau-Mistassini","1100, boulevard Wallberg","Dolbeau-Mistassini","1100, boulevard Wallberg","Dolbeau-Mistassini","G8L1G7","hotelville@ville.dolbeau-mistassini.qc.ca","www.ville.dolbeau-mistassini.qc.ca","4182760160","4182769803","10","Ville","Dolmissois, oise*","Saguenay--Lac-Saint-Jean (02)","Maria-Chapdelaine (92)","MRC Maria-Chapdelaine (920)","","","1997-12-17","","359.47","13717","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Roberval (930)","293.97","André Guy","Caroline Labbé","Alexandre Tremblay","Stéphane Houde","Rémi Rousseau","Stéphane Gagnon","Guylaine Martel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pierre-Olivier Lussier","","","André Côté","Suzy Gagnon","","Daniel Cantin","Annick Boulanger","Denis Boily","Pierre-Olivier Lussier","","","","",""
"66142","Dollard-des-Ormeaux","12001, boulevard De Salaberry","Dollard-des-Ormeaux","12001, boulevard De Salaberry","Dollard-des-Ormeaux","H9B2A7","ville@ddo.qc.ca","https://www.ville.ddo.qc.ca","5146841010","5146846894","10","Ville","","Montréal (06)","Montréal (66)","","","non","2006-01-01","","15.09","50171","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","Communauté métropolitaine de Montréal (663)","Robert-Baldwin (316)","14.99","Alex Bottausci","Laurence Parent","Errol Johnson","Mickey Max Guttman","Tanya Toledano","Morris Vesely","Valérie Assouline","Ryan Brownstein","Anastasia Assimakopoulos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jack Benzaquen","","Roman Beschieru","Shawn Labelle","","","","","","","","","","",""
"78802","Doncaster","","","","","","","","0000000000","0000000000","20","Réserve indienne","","Laurentides (15)","Les Laurentides (78)","","","oui","","","79.05","0","","B","En bloc / tout le conseil","","","","","Bertrand (588)","76.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34025","Donnacona","138, avenue Pleau","Donnacona","138, avenue Pleau","Donnacona","G3M1A1","germains@villededonnacona.com","www.villededonnacona.com","4182850110","4182850020","10","Ville","Donnaconien, ienne","Capitale-Nationale (03)","Portneuf (34)","MRC Portneuf (340)","","","1967-01-21","","37.42","7653","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Portneuf (714)","20.15","Jean-Claude Léveillée","Renée-Claude Pichette","Francyne Bouchard","Jean-Pierre Pagé","Sylvie Lambert","Francis Bellemare","Danie Blais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sylvain Germain","","Karine Naud","Pierre-Luc Gignac","","","Claude Langlois","Sylvain Morissette","Tommy Rousseau","Sylvain Germain","","Valérie Vallière","Benoit Filion","",""
"66087","Dorval","60, avenue Martin","Dorval","60, avenue Martin","Dorval","H9S3R4","dorval@ville.dorval.qc.ca","www.ville.dorval.qc.ca","5146334040","5146334138","10","Ville","Dorvalois, oise","Montréal (06)","Montréal (66)","","","non","2006-01-01","","29.08","20382","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","Communauté métropolitaine de Montréal (663)","Marquette (306)","20.83","Marc Doret","Paul Trudeau","Pascal Brault","Robert (Bob) Le Sage","Nicole Duchastel","Christopher Von Roretz","Jean-François Leroux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marc Rouleau","","Denise Desjardins","Nathalie Hadida","","","","","Carl Minville","","","Annick Charest","","",""
"33040","Dosquet","2, rue Monseigneur Chouinard","Dosquet","2, rue Monseigneur Chouinard","Dosquet","G0S1H0","dg@municipalitedosquet.com","www.municipalitedosquet.com/","4187283653","4187283338","05","Municipalité","Dosquetois, oise*","Chaudière-Appalaches (12)","Lotbinière (33)","MRC Lotbinière (330)","","","1918-02-09","","64.57","954","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Lotbinière-Frontenac (810)","64.55","Yvan Charest","Aglaée D'Auteuil","Audrey Charest","Sylvain Proulx","Michel Moreau","Justine Bouchard","Mathieu Lavigne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jolyane Houle","","","","Jolyane Houle","","Patrick Rousseau","","","Patrick Rousseau","","","Lucie Boucher","",""
"49058","Drummondville","415, rue Lindsay","Drummondville","C.P. 398","Drummondville","J2B6W3","greffe@drummondville.ca","www.drummondville.ca","8194786550","0000000000","10","Ville","Drummondvillois, oise*","Centre-du-Québec (17)","Drummond (49)","MRC Drummond (490)","","","2004-07-07","","259.6","82790","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","Johnson (126);Drummond--Bois-Francs (138)","247.08","Stéphanie Lacoste","Marc-André Lemire","Alexandre Desbiens","Catherine Lassonde","Carole Léger","Sarah Saint-Cyr Lanoie","Jean-Philippe Tessier","Isabelle Duchesne","Yves Grondin","Julie Létourneau","Mario Sévigny","Daniel Pelletier","Cathy Bernier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Francis Adam","","Benoît Carignan","Mélanie Ouellet","",""," Andrew Barr","Jonathan Guay","Jérôme Blanchette","","","Dominic Villeneuve","","",""
"41117","Dudswell","167, rue Main","Dudswell","167, rue Main","Dudswell","J0B1G0","municipalite.dudswell@hsfqc.ca","municipalitededudswell.ca","8195608484","0000000000","05","Municipalité","Dudswellois, oise*","Estrie (05)","Le Haut-Saint-François (41)","MRC Le Haut-Saint-François (410)","","","1995-10-11","","223.34","1777","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Mégantic (104)","218.76","Mariane Paré","Vincent Dodier","Réjean Simard","Domenica Guzzo","Majolaine Larocque","Réjean Cloutier","Isabelle Bibeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Audrey Mongeau","","","","Audrey Mongeau","","","","Martin Leroux","","Arsène Imbeault","Mélina Proulx","Steve Larkin","Chantal Laroche",""
"80135","Duhamel","1890, rue Principale","Duhamel","1890, rue Principale","Duhamel","J0V1G0","dg@municipalite.duhamel.qc.ca","www.municipalite.duhamel.qc.ca","8194287100","8194281941","05","Municipalité","Duhamellois, oise*","Outaouais (07)","Papineau (80)","MRC Papineau (800)","","","1936-08-15","","478.53","536","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Papineau (626)","424.93","David Pharand","Marie-Céline Hébert","Gilles Payer","Denise Corneau","Michel Longtin","Raymond Bisson","Noël Picard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Liette Quenneville","","","","Liette Quenneville","","Benoît Fiset","Poste Vacant","Dany Faucher","Liette Quenneville","","Monique Dupuis","","",""
"85030","Duhamel-Ouest","361, route 101 S.","Duhamel-Ouest","361, route 101 S.","Duhamel-Ouest","J9V1A2","dg@duhamelouest.ca","","8196292522","8196292422","05","Municipalité","Duhamellois, oise-de-l'Ouest*","Abitibi-Témiscamingue (08)","Témiscamingue (85)","MRC Témiscamingue (850)","","","1911-02-20","","128.81","941","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Rouyn-Noranda--Témiscamingue (636)","91.66","Alain  Sarrazin","Gilles Lefort","Jacques Mayer","Jocelyn Berneche","Loydy Brousseau","Pierre-Louis Gilbert-Gauthier","Gilles Laplante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lise Perron","","","","Lise Perron","","Jasmin Denis","","Roch Lambert","","","","Pascale Lefloïc","",""
"69075","Dundee","3296, montée Smallman","Dundee","3296, montée Smallman","Dundee","J0S1L0","dg@cantondundee.ca","http://www.cantondundee.ca","4502644674","4502648044","01","Canton","Dundier, Dundière","Montérégie (16)","Le Haut-Saint-Laurent (69)","MRC Le Haut-Saint-Laurent (690)","","","1855-07-01","","84.07","384","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Huntingdon (216)","81.95","Linda Gagnon","Raymond Lazure","Marc Myre","Michel Dupuis","Justin Nieuwenhof","Marie Myre","Daibhid Fraser","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marc Michot","","","","Marc Michot","","","","","Marc Michot","","","","",""
"46050","Dunham","3777, rue Principale","Dunham","3777, rue Principale","Dunham","J0E1M0","info@ville.dunham.qc.ca","www.ville.dunham.qc.ca","4502952418","0000000000","10","Ville","Dunhamien, ienne*","Estrie (05)","Brome-Missisquoi (46)","MRC Brome-Missisquoi (460)","","","1971-09-25","","195.46","3612","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","Brome-Missisquoi (204)","193.68","Pierre Janecek","Kevin Mitchell","Jeremy Page","Jules Brunelle-Marineau","Florencia Saravia","François Desaulniers","Guillaume Brais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Francis Bergeron","","Francis Bergeron","Me Jessica Tanguay","","","Patrick Cournoyer","Ève Sano-Gélinas","Alexandre  Vaugeois","Francis Bergeron","","","","",""
"87005","Duparquet","86, rue Principale","Duparquet","86, rue Principale","Duparquet","J0Z1W0","direction@villeduparquet.ca","www.duparquet.ao.ca/fr","8199482266","8199482466","10","Ville","Duparquetois, oise*","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","","","1933-04-13","","156.36","735","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Abitibi-Ouest (642)","120.46","Denis Blais","Donald Baril","Marlene Doroftei","Claudette Macameau","Véronique Drouin-Lecompte","Chantal Provencher","Solange Gamache","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Samson Carole","","","","Samson Carole","","","Jessica Roy","","Poirier Chantal","","","Richard Vallières","",""
"87085","Dupuy","1, avenue 7e  O.","Dupuy","1, avenue 7e  O.","Dupuy","J0Z1X0","dg@dupuy-ao.ca","http://dupuy.ao.ca/fr/","8197832595","8197832192","05","Municipalité","Dupuyen, enne*","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","","","1918-09-20","","122.7","962","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Abitibi-Ouest (642)","122.35","Alain Grégoire","Ronald Lévesque","Pascal Corriveau","Sylvie Germain","Annie St-Pierre","Denise Lessard Morin","Rémi Kelley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Samuel Doré","","","Nicole Breton ","Nicole Breton ","","Sylvain Rochette","Serge Gervais","","","","","","",""
"49015","Durham-Sud","33 , rue Principale","Durham-Sud","33 , rue Principale","Durham-Sud","J0H2C0","dg@durham-sud.com","www.durham-sud.com","8198582044","8198582929","05","Municipalité","Durhamien, ienne*","Centre-du-Québec (17)","Drummond (49)","MRC Drummond (490)","","","1975-11-01","","92.77","1055","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Johnson (126)","92.51","Sylvie Laval","Hilarius Peter","Patrice Godin","Bernard Martel","Ginette Laliberté","Yvan Courchesne","Karine Trahan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carole Pigeon","","","","Carole Pigeon","","","","","","","","","",""
"41060","East Angus","200, rue Saint-Jean E.","East Angus","200, rue Saint-Jean E.","East Angus","J0B1R0","info@eastangus.ca","www.eastangus.ca","8195608600","8195608611","10","Ville","Angussien, ienne*","Estrie (05)","Le Haut-Saint-François (41)","MRC Le Haut-Saint-François (410)","","","1912-03-14","","8.32","3969","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Mégantic (104)","7.839","Lyne Boulanger","Michel Champigny","Guillaume Landry","Dany Langlois","Antoni Dumont","Denis Gilbert","Nicole Bernier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","David Fournier","","Bruno Poulin","Bruno Poulin","","","","","Patrick Bernard","David Fournier","","","Maude Boivin","Maude Boivin",""
"31122","East Broughton","600, 10e Avenue S.","East Broughton","600, 10e Avenue S.","East Broughton","G0N1H0","dg@municipaliteeastbroughton.com","www.municipaliteeastbroughton.com","4184272608","4184273414","05","Municipalité","Broughtonnais, aise*","Chaudière-Appalaches (12)","L'Amiante (31)","MRC Les Appalaches (310)","","","1994-01-05","","8.7","2279","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","Lotbinière-Frontenac (810)","8.69","Jean-Benoit Létourneau","Jean-Paul Grondin","Darrell Paré","Julie Leblond","Samantha Jalbert Paré","André Roy","Rénald Drouin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Emilie Guillemette","","","","","","Jean Gagnon","","Éric Sauvageau","Jean Gagnon","","","Nelson Lemieux","",""
"46085","East Farnham","228, rue Principale","East Farnham","228, rue Principale","East Farnham","J2K4T5","dg@eastfarnham.ca","www.municipalite.eastfarnham.qc.ca","4502634252","4502636131","05","Municipalité","Eastfarnhamien, ienne*","Estrie (05)","Brome-Missisquoi (46)","MRC Brome-Missisquoi (460)","","","1914-08-27","","4.96","682","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Brome-Missisquoi (204)","4.95","Poste Vacant","Sophie Catherine Chapleau","","Karine Racine-Boilard","Melissa Brock","Nathalie Vermette","Neil Rodrigue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ian Fabi","","","","Ian Fabi","","","","","","","","","",""
"44010","East Hereford","15, rue de l'Église","East Hereford","15, rue de l'Église","East Hereford","J0B1S0","direction@easthereford.ca","www.easthereford.ca","8198442463","8198442463","05","Municipalité","Herefordéen, enne*","Estrie (05)","Coaticook (44)","MRC Coaticook (440)","","","1855-07-01","","72.88","306","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Saint-François (110)","72.71","Benoit Lavoie","Linda Mcduff","Bernard Roy","Poste Vacant","Maryse Dubé","Richard Dubé","Poste Vacant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marie-Ève Breton","","","","Marie-Ève Breton","","","Poste Vacant","","","","","Justin Doyle","",""
"99810","Eastmain","","","","","","","","0000000000","0000000000","21","Terre de la catégorie IA","Eastmainwi, Iyiyou","Nord-du-Québec (10)","Nord-du-Québec (99)","","","oui","","","160.43","942","","B","En bloc / tout le conseil","","","","","Ungava (938)","158.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
